pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,822.5178726588952
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,823.4861947753011
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,832.160191270999
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,827.172610638263
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,822.4913091757153
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,823.8791629506471
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,820.8425255889368
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,821.3818865461241
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,822.3488729289493
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,831.4598311583201
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,827.1944487880739
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,822.5749753610903
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,823.9629701410697
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,821.302123592641
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,821.8875177095013
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,822.8550986317463
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,831.6090122840525
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,824.0867812725683
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,818.2837551678292
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,819.664517830022
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,817.371697129968
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,818.0251199588018
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,818.551219373584
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,827.4024109350222
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,822.8011525086732
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,818.1445610076391
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,818.5562872951253
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,815.9128795335388
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,816.5763099281215
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,815.0213544749587
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,826.0662291147762
